                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1551,                 2.6617,                 1.4721,                0.91833,                0.43176,                 0.5182,                0.28277,                 1.3498,                 2.3542,                 1.6107,             0.00036559,             0.00036559,             0.00036559
                      2,                  1.201,                 1.4711,                 1.4328,                0.36738,                0.67919,                 0.4879,                0.29413,                 1.3608,                 1.3506,                 1.7131,             0.00073349,             0.00073349,             0.00073349
                      3,                 1.1657,                  1.288,                 1.4089,                0.81769,                0.39655,                0.42382,                0.19426,                 1.8454,                 1.5383,                 2.0284,               0.001099,               0.001099,               0.001099
                      4,                 1.1924,                 1.1629,                 1.4129,                0.88742,                0.44636,                0.46653,                0.28506,                 1.2632,                  1.268,                 1.4997,                 0.0011,                 0.0011,                 0.0011
                      5,                 1.1518,                 1.0453,                 1.3889,                0.88109,                0.45019,                0.52269,                0.31709,                 1.2841,                 1.1059,                 1.5068,              0.0010963,              0.0010963,              0.0010963
                      6,                 1.1401,                0.96452,                 1.3687,                0.45309,                0.65305,                0.53419,                0.29939,                 1.5308,                 1.0316,                 1.7116,              0.0010927,              0.0010927,              0.0010927
                      7,                 1.1479,                0.91931,                 1.3703,                0.44221,                0.79782,                0.53451,                0.35681,                 1.1713,                0.91333,                 1.4515,               0.001089,               0.001089,               0.001089
                      8,                 1.1415,                0.88937,                 1.3738,                0.34317,                0.83467,                0.53142,                0.33629,                 1.3143,                0.97422,                 1.5043,              0.0010853,              0.0010853,              0.0010853
                      9,                 1.1001,                0.82175,                 1.3492,                0.41545,                0.63519,                0.52836,                0.30959,                 1.4482,                0.97802,                 1.5731,              0.0010817,              0.0010817,              0.0010817
                     10,                 1.0926,                0.82329,                 1.3359,                0.42241,                0.92637,                0.51275,                0.34847,                 1.1183,                0.85961,                 1.4123,               0.001078,               0.001078,               0.001078
                     11,                 1.0871,                0.80365,                 1.3199,                0.44897,                0.81951,                0.54217,                0.33898,                 1.2571,                 0.8967,                  1.482,              0.0010743,              0.0010743,              0.0010743
                     12,                 1.0797,                0.78396,                  1.325,                0.45998,                 0.7436,                0.52929,                 0.3381,                 1.2328,                0.91062,                 1.4647,              0.0010707,              0.0010707,              0.0010707
                     13,                 1.0688,                0.77691,                 1.3266,                0.43922,                0.89412,                0.51785,                0.34109,                 1.1569,                0.87022,                  1.422,               0.001067,               0.001067,               0.001067
                     14,                 1.0824,                0.77466,                 1.3155,                0.46563,                0.92792,                0.54196,                 0.3711,                 1.1396,                0.80622,                 1.3793,              0.0010633,              0.0010633,              0.0010633
                     15,                 1.0514,                0.75757,                 1.3227,                0.43542,                0.82844,                0.53061,                0.34763,                 1.1432,                0.83105,                 1.3698,              0.0010597,              0.0010597,              0.0010597
                     16,                 1.0474,                0.73648,                 1.3046,                0.47283,                0.82732,                 0.5439,                0.38085,                 1.1329,                0.80232,                 1.3812,               0.001056,               0.001056,               0.001056
                     17,                 1.0553,                0.75638,                 1.3061,                0.45868,                0.92871,                0.52286,                 0.3473,                 1.2009,                0.82999,                 1.4001,              0.0010523,              0.0010523,              0.0010523
                     18,                 1.0074,                0.71724,                 1.2734,                0.46287,                0.73532,                0.51825,                0.35944,                 1.0981,                0.81301,                 1.3536,              0.0010487,              0.0010487,              0.0010487
                     19,                 1.0103,                0.73035,                 1.2925,                0.46047,                0.79974,                0.53314,                0.32659,                 1.3782,                0.88861,                 1.5773,               0.001045,               0.001045,               0.001045
                     20,                 1.0274,                0.72872,                 1.2927,                0.46979,                0.79081,                0.54277,                0.32783,                 1.4146,                0.87904,                 1.5543,              0.0010413,              0.0010413,              0.0010413
                     21,                 1.0337,                0.70451,                 1.2954,                0.50373,                0.83672,                0.56702,                0.38726,                 1.1548,                0.79291,                 1.4112,              0.0010377,              0.0010377,              0.0010377
                     22,                 1.0276,                0.69243,                 1.2918,                0.54216,                0.73851,                0.63421,                0.44619,                 1.1756,                0.78314,                 1.3978,               0.001034,               0.001034,               0.001034
                     23,                 1.0012,                0.69181,                 1.2828,                0.48243,                0.69451,                0.52971,                0.33864,                  1.309,                0.83639,                 1.5035,              0.0010303,              0.0010303,              0.0010303
                     24,                0.99916,                0.68756,                 1.2677,                0.54644,                0.72414,                0.64038,                0.45556,                 1.0669,                0.73404,                 1.3462,              0.0010267,              0.0010267,              0.0010267
                     25,                0.99175,                0.69121,                 1.2597,                0.54988,                0.63136,                0.62022,                0.43419,                 1.0387,                0.76497,                 1.3704,               0.001023,               0.001023,               0.001023
                     26,                0.99593,                0.69027,                 1.2704,                0.59314,                0.72065,                0.69737,                0.49629,                 1.1038,                0.72134,                  1.386,              0.0010193,              0.0010193,              0.0010193
                     27,                0.98131,                0.68261,                 1.2623,                0.62898,                0.65114,                0.63153,                0.41945,                 1.2144,                0.79896,                 1.4268,              0.0010157,              0.0010157,              0.0010157
                     28,                0.99684,                0.67317,                 1.2623,                0.66916,                0.67994,                0.68681,                0.48293,                 1.0935,                0.72783,                 1.3647,               0.001012,               0.001012,               0.001012
