                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1551,                 2.6617,                 1.4721,                0.91833,                0.43176,                 0.5182,                0.28277,                 1.3498,                 2.3542,                 1.6107,             0.00036559,             0.00036559,             0.00036559
                      2,                 1.2029,                 1.4693,                 1.4337,                0.46099,                0.66133,                0.50739,                 0.3165,                 1.2772,                 1.3899,                 1.5924,             0.00073106,             0.00073106,             0.00073106
                      3,                 1.1497,                 1.2982,                 1.3987,                0.39644,                0.73532,                0.53458,                0.31398,                 1.4266,                 1.2658,                 1.6595,              0.0010916,              0.0010916,              0.0010916
                      4,                 1.2021,                 1.1661,                 1.4261,                0.87531,                0.44398,                0.46391,                0.27759,                 1.3089,                 1.1777,                 1.5292,               0.001089,               0.001089,               0.001089
                      5,                 1.1389,                 1.0439,                 1.3857,                0.88816,                0.41888,                 0.4818,                0.28632,                 1.4041,                 1.1501,                 1.5555,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.1501,                0.97528,                 1.3783,                0.88494,                0.45504,                0.49506,                0.27405,                 1.5076,                 1.0743,                 1.6729,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.1222,                0.89149,                 1.3468,                0.42951,                0.73467,                0.50617,                0.33111,                 1.1952,                0.93444,                 1.4724,               0.001067,               0.001067,               0.001067
                      8,                 1.1286,                0.86972,                 1.3573,                0.40518,                0.86542,                0.49636,                0.31691,                 1.2584,                0.91417,                 1.4592,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.0912,                0.82076,                 1.3376,                0.36989,                0.61224,                0.49903,                0.31932,                 1.2812,                0.95153,                 1.4488,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.0862,                0.82287,                 1.3325,                0.44531,                0.89604,                0.53197,                0.36278,                 1.1422,                0.86475,                 1.3806,               0.001045,               0.001045,               0.001045
                     11,                 1.0881,                0.80422,                 1.3253,                0.43282,                0.83737,                0.55131,                0.36672,                 1.2304,                0.88341,                 1.4481,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.0804,                0.77761,                  1.326,                0.43175,                0.70471,                0.51831,                0.33213,                 1.2029,                0.85129,                 1.4355,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0638,                0.76786,                 1.3317,                0.47187,                0.90688,                0.51765,                0.33738,                 1.1957,                0.84504,                 1.3998,               0.001023,               0.001023,               0.001023
