                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96178,                0.64453,                 1.2428,                0.64493,                0.74502,                0.69322,                0.50532,                 1.0247,                0.69807,                 1.3453,             0.00092402,             0.00092402,             0.00092402
                     36,                0.94478,                0.63036,                 1.2381,                0.69919,                0.63122,                0.69179,                 0.5024,                 1.0193,                0.73978,                 1.3318,             0.00091852,             0.00091852,             0.00091852
                     37,                0.92953,                0.62513,                 1.2234,                0.70326,                0.67217,                0.69916,                0.51023,                 1.0414,                0.69386,                   1.34,             0.00091302,             0.00091302,             0.00091302
                     38,                0.92313,                 0.6321,                 1.2253,                0.65569,                0.74481,                0.72779,                0.52773,                 1.0676,                 0.6904,                 1.3357,             0.00090752,             0.00090752,             0.00090752
                     39,                 0.9351,                0.62017,                   1.22,                0.66116,                0.72065,                0.70408,                0.51205,                 1.0399,                0.67743,                 1.3125,             0.00090202,             0.00090202,             0.00090202
                     40,                0.92619,                0.60895,                  1.219,                0.68005,                0.70272,                0.70974,                0.52379,                 1.0451,                0.71422,                 1.3301,             0.00089652,             0.00089652,             0.00089652
                     41,                0.91744,                0.60787,                 1.2255,                0.62724,                0.79391,                0.71924,                0.51285,                 1.0395,                0.67999,                 1.2998,             0.00089102,             0.00089102,             0.00089102
                     42,                0.89778,                0.60239,                 1.2069,                0.81648,                0.69298,                0.72709,                0.48965,                 1.2856,                0.80017,                 1.5077,             0.00088552,             0.00088552,             0.00088552
                     43,                0.92792,                0.62682,                 1.2429,                 0.7163,                0.75127,                0.76739,                0.55945,                 1.0997,                0.63589,                 1.3334,             0.00088002,             0.00088002,             0.00088002
                     44,                0.91168,                0.59094,                 1.2121,                0.74281,                0.70344,                0.75795,                 0.5416,                 1.0965,                0.67609,                 1.3526,             0.00087452,             0.00087452,             0.00087452
                     45,                0.90153,                0.58872,                 1.2228,                 0.6841,                0.67792,                0.69378,                0.51089,                 1.1273,                0.73115,                 1.3611,             0.00086902,             0.00086902,             0.00086902
                     46,                0.90507,                0.57144,                 1.2098,                0.70352,                0.61224,                0.62866,                0.44688,                  1.064,                 0.8232,                 1.3395,             0.00086352,             0.00086352,             0.00086352
                     47,                0.89939,                0.58977,                 1.2126,                0.71387,                0.72186,                0.72727,                0.53812,                 1.0725,                  0.727,                 1.3558,             0.00085803,             0.00085803,             0.00085803
                     48,                0.89846,                0.58646,                    1.2,                0.59797,                0.78693,                0.70269,                0.52181,                0.99839,                0.67108,                 1.3317,             0.00085253,             0.00085253,             0.00085253
                     49,                0.91262,                0.60406,                  1.219,                0.71989,                0.69769,                0.73409,                0.54702,                 1.0258,                0.66809,                 1.2983,             0.00084703,             0.00084703,             0.00084703
                     50,                0.88576,                0.57695,                 1.1998,                0.70685,                0.74058,                0.76059,                0.50337,                 1.2696,                0.76112,                 1.5096,             0.00084153,             0.00084153,             0.00084153
