                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2073,                 2.4615,                 1.5164,                0.38388,                0.46996,                0.45951,                0.26464,                  1.269,                 1.7562,                 1.5612,             0.00036796,             0.00036796,             0.00036796
                      2,                 1.2184,                 1.4564,                 1.4418,                0.35671,                0.73594,                0.48641,                0.28352,                  1.344,                 1.2188,                 1.6227,             0.00073098,             0.00073098,             0.00073098
                      3,                 1.2223,                 1.3159,                 1.4392,                0.87426,                0.46188,                 0.4836,                0.30069,                  1.255,                 1.2032,                 1.4733,              0.0010867,              0.0010867,              0.0010867
                      4,                 1.2169,                 1.1592,                 1.4408,                0.39054,                0.82779,                0.50494,                0.29244,                  1.481,                 1.0316,                 1.7036,               0.001078,               0.001078,               0.001078
                      5,                 1.1632,                 1.0623,                 1.4042,                0.89708,                0.46935,                0.49176,                0.28579,                 1.3369,                 1.0588,                 1.5546,               0.001067,               0.001067,               0.001067
                      6,                 1.1725,                0.97263,                 1.3733,                0.40951,                0.77295,                0.51813,                0.31348,                 1.3493,                0.94327,                 1.5465,               0.001056,               0.001056,               0.001056
                      7,                 1.1506,                0.89349,                 1.3763,                 0.9006,                0.47893,                0.50447,                0.31411,                 1.2797,                0.97106,                 1.4766,               0.001045,               0.001045,               0.001045
                      8,                 1.1534,                0.89236,                 1.3776,                0.46257,                0.96938,                0.50617,                0.29141,                 1.5073,                0.90223,                 1.6135,               0.001034,               0.001034,               0.001034
                      9,                 1.1312,                0.85071,                 1.3608,                0.45995,                0.82653,                0.53311,                0.33552,                 1.2871,                0.88272,                 1.4512,               0.001023,               0.001023,               0.001023
                     10,                 1.1152,                0.83534,                 1.3416,                0.42301,                0.58039,                0.50541,                0.32576,                 1.2222,                 0.8821,                  1.422,               0.001012,               0.001012,               0.001012
                     11,                 1.1239,                0.82826,                 1.3572,                0.42346,                0.93175,                0.50732,                0.30625,                 1.3394,                0.88785,                  1.492,               0.001001,               0.001001,               0.001001
                     12,                 1.0642,                 0.7896,                 1.3248,                0.45136,                0.92474,                0.53952,                0.33199,                 1.3404,                0.84908,                 1.4912,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.0784,                0.77302,                 1.3342,                0.39644,                0.49743,                0.48771,                  0.281,                 1.4312,                0.91542,                 1.5987,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0871,                0.76044,                 1.3317,                0.43035,                0.71237,                0.52955,                0.32342,                 1.3552,                0.87906,                 1.5153,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.0543,                0.77215,                  1.319,                0.45679,                0.95153,                0.52656,                0.34645,                 1.1713,                0.81206,                  1.372,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0344,                0.72387,                 1.3081,                0.42924,                 0.9426,                0.50731,                0.32248,                 1.2612,                0.83958,                 1.4498,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0571,                 0.7405,                 1.3131,                0.48417,                0.92474,                0.53015,                0.32687,                 1.3678,                 0.8558,                 1.5197,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0705,                0.74698,                 1.3221,                0.47492,                0.87117,                0.52233,                0.34222,                 1.2557,                   0.82,                 1.4514,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0388,                0.71828,                 1.3027,                0.49194,                0.91581,                0.53397,                0.35636,                 1.1724,                0.80498,                 1.3777,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.0276,                 0.7301,                 1.3027,                0.49335,                0.87308,                0.52425,                0.34246,                 1.1995,                0.81639,                 1.4305,             0.00090202,             0.00090202,             0.00090202
                     21,                0.99891,                0.73351,                 1.2752,                0.49181,                0.82992,                0.52151,                0.33941,                 1.2905,                0.82876,                 1.4904,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.0217,                0.74598,                 1.2999,                0.50107,                0.91773,                0.52881,                0.32898,                 1.3077,                0.80644,                 1.4689,             0.00088002,             0.00088002,             0.00088002
                     23,                0.99712,                0.69344,                 1.2742,                 0.4591,                0.86925,                0.52737,                0.33831,                 1.2852,                0.81098,                 1.4811,             0.00086902,             0.00086902,             0.00086902
                     24,                0.99432,                0.70061,                 1.2831,                0.46461,                0.91006,                0.50867,                0.34672,                 1.1367,                0.78923,                  1.374,             0.00085803,             0.00085803,             0.00085803
                     25,                  1.007,                0.68082,                 1.2755,                0.45981,                0.78922,                0.53202,                0.34709,                 1.2095,                0.82019,                 1.4372,             0.00084703,             0.00084703,             0.00084703
                     26,                  1.012,                0.71091,                 1.2839,                0.50582,                0.85331,                0.53984,                0.36406,                 1.1814,                0.78815,                 1.3773,             0.00083603,             0.00083603,             0.00083603
                     27,                0.99023,                0.68929,                 1.2763,                0.46817,                 0.7445,                0.52836,                0.35683,                 1.1583,                0.79486,                 1.3755,             0.00082503,             0.00082503,             0.00082503
                     28,                0.97854,                0.66882,                 1.2587,                0.48519,                0.75701,                0.55326,                0.36673,                 1.1833,                0.81314,                 1.3826,             0.00081403,             0.00081403,             0.00081403
                     29,                0.96755,                0.66989,                 1.2626,                0.51202,                0.80709,                 0.5796,                0.39479,                 1.1252,                0.75176,                 1.3739,             0.00080303,             0.00080303,             0.00080303
                     30,                0.96968,                0.66946,                 1.2561,                0.51184,                0.79782,                0.59355,                0.40211,                  1.143,                0.75541,                 1.3923,             0.00079203,             0.00079203,             0.00079203
                     31,                 0.9577,                0.66328,                 1.2509,                0.65028,                0.68447,                0.67429,                 0.4775,                 1.1706,                0.74952,                 1.3889,             0.00078103,             0.00078103,             0.00078103
                     32,                0.96176,                0.65626,                 1.2571,                0.55278,                0.79974,                0.62397,                0.44803,                 1.1229,                 0.7261,                 1.3229,             0.00077003,             0.00077003,             0.00077003
                     33,                0.94837,                0.63829,                 1.2461,                0.66105,                0.70911,                 0.6809,                0.48646,                 1.1852,                0.74896,                 1.3836,             0.00075904,             0.00075904,             0.00075904
                     34,                0.97474,                0.66504,                 1.2665,                0.65684,                 0.7551,                0.68299,                0.48077,                 1.1873,                0.72482,                  1.372,             0.00074804,             0.00074804,             0.00074804
                     35,                0.94506,                0.64211,                  1.236,                0.55196,                0.81951,                0.66645,                0.45978,                 1.1862,                0.73025,                 1.3817,             0.00073704,             0.00073704,             0.00073704
                     36,                0.95054,                0.63203,                 1.2499,                0.60672,                0.69961,                0.65505,                0.47031,                 1.0914,                0.71045,                  1.355,             0.00072604,             0.00072604,             0.00072604
                     37,                0.94686,                0.62604,                 1.2533,                 0.6216,                 0.8176,                0.71743,                0.51893,                 1.1097,                0.68831,                 1.3293,             0.00071504,             0.00071504,             0.00071504
                     38,                0.93245,                0.62184,                 1.2326,                0.59912,                0.77997,                0.67114,                0.48096,                 1.0794,                0.67089,                 1.3396,             0.00070404,             0.00070404,             0.00070404
                     39,                0.92508,                0.62388,                  1.218,                0.59975,                0.73659,                0.70163,                0.52219,                  1.014,                0.65436,                 1.3011,             0.00069304,             0.00069304,             0.00069304
                     40,                0.93832,                0.63664,                 1.2482,                0.62981,                0.70854,                0.67848,                0.48647,                 1.0872,                0.69326,                  1.342,             0.00068204,             0.00068204,             0.00068204
                     41,                0.92532,                0.63481,                 1.2368,                0.67139,                0.71364,                0.72539,                0.53964,                 1.0515,                0.68332,                 1.3222,             0.00067104,             0.00067104,             0.00067104
                     42,                0.92596,                0.62916,                 1.2273,                 0.6379,                0.76912,                0.73284,                0.52831,                 1.0796,                0.67966,                 1.3311,             0.00066005,             0.00066005,             0.00066005
                     43,                0.91082,                 0.6168,                 1.2199,                0.64118,                0.71364,                0.71123,                0.53753,                 1.0146,                0.68447,                 1.3116,             0.00064905,             0.00064905,             0.00064905
                     44,                0.90331,                0.62486,                  1.218,                0.60271,                0.71555,                0.67673,                0.49684,                 1.0248,                0.67444,                 1.2832,             0.00063805,             0.00063805,             0.00063805
                     45,                0.89008,                0.60253,                 1.2195,                0.63685,                0.70093,                0.70634,                0.52132,                 1.0007,                0.65994,                 1.2937,             0.00062705,             0.00062705,             0.00062705
                     46,                 0.9115,                0.59748,                  1.223,                0.64601,                0.77295,                0.75832,                  0.554,                 1.0827,                0.64665,                 1.3159,             0.00061605,             0.00061605,             0.00061605
                     47,                0.90713,                 0.6118,                 1.2183,                0.76719,                0.64412,                0.69751,                0.50259,                 1.0977,                0.66548,                 1.3601,             0.00060505,             0.00060505,             0.00060505
                     48,                0.92006,                0.60537,                 1.2234,                0.63996,                0.73135,                0.72378,                0.54248,                 1.0093,                0.62803,                  1.306,             0.00059405,             0.00059405,             0.00059405
                     49,                0.89991,                0.56565,                  1.214,                0.62244,                0.77104,                0.70855,                0.50388,                 1.1376,                0.68549,                 1.3837,             0.00058305,             0.00058305,             0.00058305
                     50,                0.88312,                0.60457,                 1.2105,                0.62943,                0.74425,                 0.7188,                0.52978,                 1.0519,                0.67008,                 1.3265,             0.00057205,             0.00057205,             0.00057205
                     51,                0.88944,                0.58387,                    1.2,                0.77736,                0.67984,                0.74667,                0.55154,                 1.0045,                0.63985,                  1.298,             0.00056105,             0.00056105,             0.00056105
                     52,                0.88533,                0.58715,                  1.204,                0.65606,                0.73149,                0.74434,                0.55613,                 1.0045,                0.66622,                  1.311,             0.00055006,             0.00055006,             0.00055006
                     53,                 0.8922,                0.59361,                 1.2105,                0.67874,                0.75691,                0.73511,                0.54371,                0.99392,                0.62815,                 1.3019,             0.00053906,             0.00053906,             0.00053906
                     54,                0.87146,                0.56104,                 1.2004,                0.69483,                0.75646,                0.76059,                0.57358,                0.99036,                0.60975,                 1.3054,             0.00052806,             0.00052806,             0.00052806
                     55,                0.87429,                0.56761,                 1.2037,                0.68113,                0.75024,                0.77078,                0.57107,                 1.0568,                0.68586,                 1.3033,             0.00051706,             0.00051706,             0.00051706
                     56,                0.86724,                0.55525,                 1.1819,                0.70315,                0.75636,                0.77147,                0.58792,                0.95455,                0.59753,                 1.2836,             0.00050606,             0.00050606,             0.00050606
                     57,                0.84008,                 0.5558,                  1.177,                0.72125,                0.76461,                0.78241,                0.59433,                0.97634,                0.65348,                 1.3055,             0.00049506,             0.00049506,             0.00049506
                     58,                0.84371,                0.56394,                 1.1834,                0.69829,                0.78698,                0.78114,                0.59075,                0.99879,                0.61821,                 1.3241,             0.00048406,             0.00048406,             0.00048406
                     59,                0.84651,                0.53499,                 1.1839,                0.71795,                0.74617,                0.78352,                0.59731,                0.95782,                0.60294,                 1.2606,             0.00047306,             0.00047306,             0.00047306
