                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2073,                 2.4615,                 1.5164,                0.38388,                0.46996,                0.45951,                0.26464,                  1.269,                 1.7562,                 1.5612,             0.00036796,             0.00036796,             0.00036796
                      2,                 1.2184,                 1.4564,                 1.4418,                0.35671,                0.73594,                0.48641,                0.28352,                  1.344,                 1.2188,                 1.6227,             0.00073098,             0.00073098,             0.00073098
                      3,                 1.2223,                 1.3159,                 1.4392,                0.87426,                0.46188,                 0.4836,                0.30069,                  1.255,                 1.2032,                 1.4733,              0.0010867,              0.0010867,              0.0010867
