                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2198,                 2.3571,                 1.5029,                0.39959,                0.53441,                0.50773,                0.28524,                 1.3927,                 1.5137,                 1.6239,             0.00036914,             0.00036914,             0.00036914
                      2,                  1.239,                 1.4314,                 1.4777,                0.38464,                0.73211,                0.49517,                0.27486,                 1.5294,                 1.3319,                 1.6341,             0.00073216,             0.00073216,             0.00073216
                      3,                 1.2631,                 1.3214,                  1.484,                0.89906,                0.46935,                0.50318,                0.28505,                 1.4374,                 1.1805,                 1.5868,              0.0010878,              0.0010878,              0.0010878
                      4,                 1.2133,                 1.1918,                 1.4531,                0.57113,                0.51338,                0.52326,                0.28424,                 1.5743,                 1.1377,                  1.706,               0.001078,               0.001078,               0.001078
                      5,                 1.2105,                 1.0895,                 1.4454,                 0.5465,                0.51333,                0.53304,                0.29231,                 1.5606,                 1.1106,                 1.6558,               0.001067,               0.001067,               0.001067
                      6,                 1.1967,                0.99903,                 1.4249,                0.89981,                0.48159,                0.51954,                0.27309,                 1.5337,                 1.0389,                 1.6207,               0.001056,               0.001056,               0.001056
                      7,                 1.1973,                0.95729,                 1.4214,                0.41218,                0.87308,                0.50668,                0.30314,                 1.3357,                0.95047,                  1.511,               0.001045,               0.001045,               0.001045
                      8,                 1.1735,                0.92639,                 1.4166,                0.45679,                0.95662,                0.54496,                0.34482,                 1.2247,                0.88792,                  1.432,               0.001034,               0.001034,               0.001034
                      9,                 1.1363,                0.85108,                  1.377,                0.44919,                0.88209,                0.51254,                0.32962,                 1.2224,                0.90368,                 1.4609,               0.001023,               0.001023,               0.001023
                     10,                 1.1722,                0.88571,                 1.3996,                0.47358,                0.92282,                0.51345,                0.31493,                 1.3472,                0.90168,                 1.5025,               0.001012,               0.001012,               0.001012
                     11,                 1.1408,                0.86127,                 1.3875,                0.44747,                0.76403,                0.52151,                0.30858,                 1.3648,                0.92068,                 1.5262,               0.001001,               0.001001,               0.001001
                     12,                 1.1534,                0.83193,                  1.395,                0.39599,                0.52487,                0.51354,                0.31309,                 1.2549,                0.90604,                 1.4336,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.1279,                0.84036,                   1.38,                 0.4605,                 0.7889,                0.51728,                0.32445,                 1.3313,                0.91069,                 1.4922,             0.00097901,             0.00097901,             0.00097901
                     14,                  1.113,                0.81233,                 1.3537,                0.49858,                0.93367,                0.53593,                0.34034,                 1.2905,                0.85257,                 1.4636,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.1033,                0.80087,                 1.3637,                0.46164,                 0.6301,                0.53814,                0.30933,                 1.3461,                0.89508,                  1.512,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.1002,                0.76893,                 1.3441,                 0.4053,                0.89604,                0.52062,                0.35346,                 1.1469,                0.85543,                 1.3942,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.1042,                0.79123,                 1.3481,                 0.4751,                0.93367,                0.52914,                0.34841,                 1.2446,                0.87542,                 1.4757,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0556,                0.79717,                 1.3284,                0.47325,                0.96237,                0.52626,                0.35397,                 1.1347,                0.81494,                 1.3581,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.0491,                0.76105,                 1.3244,                0.45427,                0.68175,                0.51338,                0.32945,                 1.2504,                0.85105,                 1.4404,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.0571,                0.75382,                 1.3361,                0.46484,                0.90688,                0.51192,                0.31942,                 1.3074,                0.84756,                 1.4797,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.0549,                0.75085,                 1.3255,                0.46964,                 0.8125,                0.53733,                0.34292,                 1.1905,                0.83027,                  1.413,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.0705,                0.74701,                 1.3371,                0.48726,                0.89795,                0.52265,                0.31384,                 1.4234,                0.85779,                  1.545,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.0299,                0.72477,                 1.3053,                0.46773,                0.91316,                 0.5312,                0.34252,                 1.2145,                0.80939,                 1.4255,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.0374,                0.71708,                 1.3101,                0.49584,                0.84478,                0.52531,                0.34981,                  1.189,                0.83578,                 1.4133,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.0445,                0.72029,                 1.3158,                0.49407,                0.86925,                0.51678,                0.32847,                 1.2275,                0.81881,                 1.4182,             0.00084703,             0.00084703,             0.00084703
